bowler,phase,batsman_run,is_legal_ball,dot_ball,is_dismissal,is_boundary,4s,6s,strike_rate,dot_ball_pct,boundary_pct
DJ Bravo,Death Overs,22,10,1,0,3,1,2,220.0,10.0,30.0
DJ Bravo,Middle Overs,33,23,2,1,4,4,0,143.48,8.7,17.39
DJ Bravo,Powerplay,17,12,5,0,3,3,0,141.67,41.67,25.0
DW Steyn,Death Overs,47,15,2,0,8,3,5,313.33,13.33,53.33
DW Steyn,Middle Overs,5,7,3,1,0,0,0,71.43,42.86,0.0
DW Steyn,Powerplay,3,1,0,0,0,0,0,300.0,0.0,0.0
JJ Bumrah,Death Overs,80,36,8,1,13,7,6,222.22,22.22,36.11
JJ Bumrah,Middle Overs,36,31,12,2,3,1,2,116.13,38.71,9.68
JJ Bumrah,Powerplay,15,22,13,0,2,2,0,68.18,59.09,9.09
R Ashwin,Death Overs,21,14,2,0,3,2,1,150.0,14.29,21.43
R Ashwin,Middle Overs,45,41,10,1,4,3,1,109.76,24.39,9.76
R Ashwin,Powerplay,3,6,3,1,0,0,0,50.0,50.0,0.0
RA Jadeja,Death Overs,22,13,3,0,3,1,2,169.23,23.08,23.08
RA Jadeja,Middle Overs,87,76,26,2,10,7,3,114.47,34.21,13.16
RA Jadeja,Powerplay,2,2,0,0,0,0,0,100.0,0.0,0.0
SL Malinga,Death Overs,56,24,2,0,7,3,4,233.33,8.33,29.17
SL Malinga,Middle Overs,57,26,5,0,9,5,4,219.23,19.23,34.62
SL Malinga,Powerplay,11,11,7,0,2,2,0,100.0,63.64,18.18
SP Narine,Death Overs,14,9,2,2,1,0,1,155.56,22.22,11.11
SP Narine,Middle Overs,35,27,11,1,5,4,1,129.63,40.74,18.52
SP Narine,Powerplay,4,3,2,1,1,1,0,133.33,66.67,33.33
