ID,innings,overs,ballnumber,batter,bowler,non-striker,extra_type,batsman_run,extras_run,total_run,non_boundary,isWicketDelivery,player_out,kind,fielders_involved,BattingTeam
1254115,1,12,3,AB de Villiers,SP Narine,GJ Maxwell,,1,0,1,0,0,,,,Royal Challengers Bangalore
1254115,1,12,5,AB de Villiers,SP Narine,GJ Maxwell,,0,0,0,0,0,,,,Royal Challengers Bangalore
1254115,1,12,6,AB de Villiers,SP Narine,GJ Maxwell,,4,0,4,0,0,,,,Royal Challengers Bangalore
1254115,1,14,1,AB de Villiers,SP Narine,GJ Maxwell,,2,0,2,0,0,,,,Royal Challengers Bangalore
1254115,1,14,2,AB de Villiers,SP Narine,GJ Maxwell,,0,0,0,0,1,AB de Villiers,bowled,,Royal Challengers Bangalore
1254113,1,13,3,AB de Villiers,DJ Bravo,D Padikkal,,1,0,1,0,0,,,,Royal Challengers Bangalore
1254113,1,13,6,AB de Villiers,DJ Bravo,D Padikkal,,1,0,1,0,0,,,,Royal Challengers Bangalore
1254108,1,16,1,AB de Villiers,JJ Bumrah,GJ Maxwell,,0,0,0,0,0,,,,Royal Challengers Bangalore
1254108,1,16,2,AB de Villiers,JJ Bumrah,GJ Maxwell,,6,0,6,0,0,,,,Royal Challengers Bangalore
1254108,1,16,3,AB de Villiers,JJ Bumrah,GJ Maxwell,,1,0,1,0,0,,,,Royal Challengers Bangalore
1254108,1,16,5,AB de Villiers,JJ Bumrah,GJ Maxwell,wides,0,1,1,0,0,,,,Royal Challengers Bangalore
1254108,1,16,6,AB de Villiers,JJ Bumrah,GJ Maxwell,,4,0,4,0,0,,,,Royal Challengers Bangalore
1254108,1,16,7,AB de Villiers,JJ Bumrah,GJ Maxwell,,0,0,0,0,0,,,,Royal Challengers Bangalore
1254108,1,18,5,AB de Villiers,JJ Bumrah,DT Christian,,0,0,0,0,1,AB de Villiers,caught,Q de Kock,Royal Challengers Bangalore
1254101,2,7,1,AB de Villiers,R Ashwin,KS Bharat,,0,0,0,0,0,,,,Royal Challengers Bangalore
1254101,2,7,2,AB de Villiers,R Ashwin,KS Bharat,,2,0,2,0,0,,,,Royal Challengers Bangalore
1254101,2,7,3,AB de Villiers,R Ashwin,KS Bharat,,6,0,6,0,0,,,,Royal Challengers Bangalore
1254101,2,7,4,AB de Villiers,R Ashwin,KS Bharat,,1,0,1,0,0,,,,Royal Challengers Bangalore
1254101,2,7,6,AB de Villiers,R Ashwin,KS Bharat,,1,0,1,0,0,,,,Royal Challengers Bangalore
1254076,2,6,5,AB de Villiers,RA Jadeja,GJ Maxwell,,0,0,0,0,0,,,,Royal Challengers Bangalore
1254076,2,6,6,AB de Villiers,RA Jadeja,GJ Maxwell,,0,0,0,0,0,,,,Royal Challengers Bangalore
1254076,2,8,4,AB de Villiers,RA Jadeja,GJ Maxwell,,1,0,1,0,0,,,,Royal Challengers Bangalore
1254076,2,10,1,AB de Villiers,RA Jadeja,KA Jamieson,,0,0,0,0,1,AB de Villiers,bowled,,Royal Challengers Bangalore
1254058,2,12,4,AB de Villiers,JJ Bumrah,GJ Maxwell,,0,0,0,0,0,,,,Royal Challengers Bangalore
1254058,2,12,5,AB de Villiers,JJ Bumrah,GJ Maxwell,,1,0,1,0,0,,,,Royal Challengers Bangalore
1254058,2,16,1,AB de Villiers,JJ Bumrah,DT Christian,,1,0,1,0,0,,,,Royal Challengers Bangalore
1254058,2,16,6,AB de Villiers,JJ Bumrah,KA Jamieson,,1,0,1,0,0,,,,Royal Challengers Bangalore
1254058,2,18,1,AB de Villiers,JJ Bumrah,KA Jamieson,,4,0,4,0,0,,,,Royal Challengers Bangalore
1254058,2,18,2,AB de Villiers,JJ Bumrah,KA Jamieson,,2,0,2,0,0,,,,Royal Challengers Bangalore
1254058,2,18,3,AB de Villiers,JJ Bumrah,KA Jamieson,,4,0,4,0,0,,,,Royal Challengers Bangalore
1254058,2,18,4,AB de Villiers,JJ Bumrah,KA Jamieson,,1,0,1,0,0,,,,Royal Challengers Bangalore
1254058,2,18,6,AB de Villiers,JJ Bumrah,HV Patel,,1,0,1,0,0,,,,Royal Challengers Bangalore
1216547,1,16,1,AB de Villiers,JJ Bumrah,D Padikkal,,4,0,4,0,0,,,,Royal Challengers Bangalore
1216547,1,16,2,AB de Villiers,JJ Bumrah,D Padikkal,,0,0,0,0,0,,,,Royal Challengers Bangalore
1216547,1,16,3,AB de Villiers,JJ Bumrah,D Padikkal,,6,0,6,0,0,,,,Royal Challengers Bangalore
1216547,1,16,4,AB de Villiers,JJ Bumrah,D Padikkal,legbyes,0,1,1,0,0,,,,Royal Challengers Bangalore
1216547,1,16,6,AB de Villiers,JJ Bumrah,D Padikkal,,6,0,6,0,0,,,,Royal Challengers Bangalore
1216547,1,18,2,AB de Villiers,JJ Bumrah,S Dube,,4,0,4,0,0,,,,Royal Challengers Bangalore
1216547,1,18,3,AB de Villiers,JJ Bumrah,S Dube,,1,0,1,0,0,,,,Royal Challengers Bangalore
1216547,1,18,6,AB de Villiers,JJ Bumrah,S Dube,,6,0,6,0,0,,,,Royal Challengers Bangalore
1216547,4,0,1,AB de Villiers,JJ Bumrah,V Kohli,,1,0,1,0,0,,,,Royal Challengers Bangalore
1216547,4,0,3,AB de Villiers,JJ Bumrah,V Kohli,,0,0,0,0,0,,,,Royal Challengers Bangalore
1216547,4,0,4,AB de Villiers,JJ Bumrah,V Kohli,,4,0,4,0,0,,,,Royal Challengers Bangalore
1216547,4,0,5,AB de Villiers,JJ Bumrah,V Kohli,,1,0,1,0,0,,,,Royal Challengers Bangalore
1216544,1,12,1,AB de Villiers,RA Jadeja,V Kohli,,1,0,1,0,0,,,,Royal Challengers Bangalore
